Alchemist 炼金术士
magina 敌法师
Axe 斧王
Bane 痛苦之源
Bear 德鲁伊
beast 兽王
gondar 赏金猎人
jugg 剑圣
clinkz 骷髅射手
bristle 刚背兽
spider 育母蜘蛛
warchief 半人马酋长
chaos 混沌骑士
chen 圣骑士
chaos 混沌骑士
destroyer 黑曜毁灭者
doctor巫医
Lucifer 末日使者
drow 黑暗游侠
dragon 双头龙
dryad 魅惑魔女
sniper 矮人狙击手
dryad 魅惑魔女
enigma 谜团
furion 先知
void 虚空假面
Meeop 地卜师
kotl 光之守卫
lancer 幻影长矛
Lina 秀逗魔导师）
Tide 潮汐猎人
Lich 巫妖
Lion 恶魔巫师
luna 月之骑士
lycan 狼人
magnus 半人猛犸
medusa 蛇发女妖
Zues 众神之王
morph 变体精灵
NAGA 娜迦海妖
Naix 食尸鬼
Necro 死灵法师
Nevermore 影魔
omniknight 全能骑士
orge 食人鬼魔法师
panda 熊猫酒仙
potm 月之女祭师
priest 暗影牧师
Pudge 屠夫
Pugna 遗忘法师
Raigor 撼地神牛
Razor 复仇电魂
rhasta 暗影萨满
silencer 沉默术士
Slardar 鱼人守卫
Spectre 幽鬼
Sven 流浪剑客
techies 哥布林工程师
Tinker 修补匠
tiny 山岭巨人
treant 树精卫士
Troll 巨魔战将
veno 剧毒术士
viper 冥界亚龙
Visage 死灵飞龙
