Angel 天使
Black 黑蝠王
Lockjaw 锁齿狗
Blizzard 冰雪暴
Toro 托罗
Banshee 海妖
Beast 野兽
Bishop 主教
Hellcat 地狱猫
Blade 刀锋战士
Bucky 冬日战士
Cable 酷霸
Colossus 钢人
Cyclops 镭射眼
Star-Lord 星爵
Ikaris 伊格瑞斯
Doctor 奇异博士
Elektra 艾丽卡
Falcon 猎鹰
Lockheed 洛克希德
Gambit 牌王
Havok 冲击波
Warpath 战迹
Ink 墨纹
Washout 冲蚀
Hawkeye 鹰眼
Hercules 大力士
Hulk 绿巨人
Sunspot 黑子
Sunfire 阳炎
Iceman 冰人
Crystal 水晶
Magik 秘客
Nightcrawler 夜行者
Polaris 北极星
Northstar 北极星
Rogue 小淘气
Shadowcat 幻影猫
Sentry 哨兵
Storm 暴风女
Thing 石头人
Thor 托尔
Quasar 类星体
Firelord 火焰领主
Nova 新星
Supernova 超新星
Powerhouse 供能者
Tigra 虎女郎
Union 英国杰克
Wolverine 金刚狼
